question_id,image_name,category,abc_label,raw_output,prediction,ground_truth,correct
3246.png-0,3246.png,partsOfA,True,"B) containing the cell's hereditary material and controlling its metabolism, growth,",B,B,True
3246.png-1,3246.png,partsOfA,True,"A) A large, membrane-bound, usually spherical protoplasmic structure within",A,A,True
3052.png-0,3052.png,partsOfA,False,D) Plasma Membrane,D,D,True
2942.png-0,2942.png,partsOfA,True,A) E,A,A,True
2942.png-1,2942.png,partsOfA,True,A) H,A,D,False
3126.png-0,3126.png,partsOfA,True,A) F,A,B,False
3654.png-1,3654.png,partsOfA,True,D) right ventricle,D,A,False
3654.png-0,3654.png,partsOfA,True,A) Tricuspid Valve,A,A,True
3654.png-2,3654.png,partsOfA,False,B) Cardiac,B,B,True
1122.png-0,1122.png,partsOfA,True,A) leaflet,A,A,True
1122.png-1,1122.png,partsOfA,True,C) petiole,C,C,True
1078.png-0,1078.png,partsOfA,False,C) Cell wall,C,C,True
3155.png-0,3155.png,partsOfA,False,B) Midrib,B,B,True
2970.png-0,2970.png,partsOfA,False,A) Dorsal Nucleus of Clarke,A,A,True
3516.png-0,3516.png,partsOfA,True,B) central vacuole,B,B,True
3516.png-1,3516.png,partsOfA,True,A) central vacuole,A,C,False
3516.png-3,3516.png,partsOfA,False,A) nucleolus,A,A,True
3516.png-2,3516.png,partsOfA,False,A) cell wall,A,A,True
3243.png-0,3243.png,partsOfA,True,B) microtubule,B,D,False
1129.png-1,1129.png,partsOfA,False,C) sepal,C,C,True
1129.png-0,1129.png,partsOfA,False,A) anther,A,C,False
3822.png-0,3822.png,partsOfA,True,A) Beak,A,A,True
3822.png-1,3822.png,partsOfA,True,D) H,D,A,False
1097.png-1,1097.png,partsOfA,False,B) Margin,B,B,True
1097.png-0,1097.png,partsOfA,True,C) E,C,B,False
1097.png-2,1097.png,partsOfA,True,A) Petiole,A,A,True
3977.png-0,3977.png,partsOfA,False,D) Apical Window,D,D,True
3977.png-1,3977.png,partsOfA,True,A) D,A,C,False
3980.png-1,3980.png,partsOfA,False,"A) No, the tap root is a single large root growing straight down.",A,A,True
3980.png-0,3980.png,partsOfA,True,D) B,D,C,False
3771.png-0,3771.png,partsOfA,True,B) I,B,A,False
